Sr,Neighborhood,Overall Score,Housing,Neighborhoodd,Transportation,Environment,Health,Engagement,Opportunity
42,Loop,55,56,76,84,31,65,56,19
45,Montclare,56,73,76,76,48,46,53,22
19,Dunning,58,72,74,76,48,56,53,23
20,East Garfield Park,54,68,71,72,48,26,65,24
70,West Elsdon,47,49,67,64,27,45,54,24
74,West Pullman,50,64,61,66,48,38,53,24
11,Bridgeport,55,58,77,75,48,49,56,25
50,Near West Side,51,47,80,84,15,52,53,25
6,Austin,56,83,81,78,48,34,46,26
37,Kenwood,57,57,84,77,48,50,58,26
48,Near North Side,55,34,75,89,31,67,61,26
24,Englewood,56,91,74,72,48,31,49,27
38,Lake View,60,43,82,88,48,67,67,27
40,Lincoln Square,56,36,86,85,48,56,51,28
3,Armour Square,53,79,68,70,26,42,54,29
39,Lincoln Park,58,39,73,87,48,65,68,29
29,Grand Boulevard,56,79,82,71,48,28,56,30
54,North Park,56,42,76,80,48,58,60,30
63,South Chicago,55,77,73,68,48,33,52,30
7,Avalon Park,47,59,63,62,28,34,55,31
22,Edgewater,56,74,82,81,16,45,62,31
46,Morgan Park,49,61,66,57,33,45,51,31
59,Pullman,45,59,58,54,29,33,48,31
61,Rogers Park,59,59,80,88,48,45,64,31
65,South Lawndale,56,64,82,75,48,32,58,32
67,Uptown,59,65,82,84,48,43,61,32
71,West Englewood Avenue,50,77,74,64,29,29,49,32
72,West Garfield Park,57,75,77,80,48,23,62,32
32,Hermosa,50,54,66,76,25,41,52,33
52,North Center,56,43,80,84,35,61,60,33
55,Norwood Park,52,73,65,63,29,58,44,33
77,Woodlawn,51,55,74,70,48,25,52,33
14,Calumet Heights,48,44,68,62,33,38,57,34
51,New City,55,64,78,74,48,34,50,34
73,West Lawn,51,55,80,69,29,40,48,34
10,Beverly,53,33,74,58,48,58,61,35
30,Greater Grand Crossing,50,43,67,66,48,35,57,35
31,Hegewisch,52,56,72,58,48,45,52,35
33,Humboldt Park,54,45,72,78,48,39,61,35
58,Portage Park,54,39,64,77,48,57,59,35
9,Belmont Cragin,56,49,79,77,48,43,58,36
34,Hyde Park,59,68,80,78,48,49,52,36
35,Irving Park,58,57,70,79,48,54,59,36
47,Mount Greenwood,55,53,72,65,48,59,54,36
68,Washington Heights,45,53,61,53,28,37,50,36
21,East Side,50,66,61,60,41,39,45,37
23,Edison Park,53,46,69,71,33,60,55,37
49,Near South Side,54,62,72,79,28,48,54,37
64,South Deering,50,57,67,63,39,34,51,37
5,Auburn Gresham,55,70,66,66,48,33,62,38
18,Douglas,59,72,80,70,48,41,63,38
76,West Town,58,46,74,82,48,55,66,38
15,Chatham,54,58,67,68,48,40,61,39
41,Logan Square,59,48,82,82,48,55,58,39
12,Brighton Park,54,60,77,72,48,39,44,40
26,Fuller Park,47,58,63,65,25,28,50,40
43,Lower West Side,60,66,82,81,48,43,61,40
69,Washington Park,55,76,65,71,48,30,53,40
53,North Lawndale,56,87,68,71,48,27,53,41
28,Garfield Ridge,53,51,73,68,32,58,49,42
36,Jefferson Park,55,57,78,80,27,55,48,42
66,South Shore,55,72,73,68,47,33,47,42
75,West Ridge,57,46,77,80,48,45,62,42
1,Albany Park,61,67,79,85,48,55,50,43
44,McKinley Park,55,51,76,76,48,43,49,43
62,Roseland,55,68,72,67,48,34,56,43
17,Clearing,56,57,78,72,48,51,41,44
2,Archer Heights,50,62,68,58,30,41,45,45
27,Gage Park,52,56,76,68,48,40,40,45
56,O'Hare,49,55,63,53,25,57,43,45
57,Oakland,57,71,70,75,48,30,62,45
13,Burnside,53,54,62,66,48,36,55,46
16,Chicago Lawn,56,57,77,71,48,41,55,47
8,Avondale,51,54,70,64,26,43,52,48
25,Forest Glen,52,47,65,59,28,61,54,49
4,Ashburn,53,52,64,63,48,45,48,50
60,Riverdale,48,51,64,56,42,27,48,52